Country Name,Country Code,Indicator Name,Indicator Code,Year,Renewable Output
Angola,AGO,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,86.2068965517241
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,86.4077669902913
United Arab Emirates,ARE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0
Argentina,ARG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,35.2511075391069
Armenia,ARM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,15.0067554526153
Australia,AUS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,9.61043484992162
Austria,AUT,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,64.8884558794289
Azerbaijan,AZE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,7.16136834830684
Belgium,BEL,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.782538809695021
Benin,BEN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0
Bangladesh,BGD,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,11.4330056906363
Bulgaria,BGR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,4.45646757314729
Bahrain,BHR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0
Bosnia and Herzegovina,BIH,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,20.8993985784582
Belarus,BLR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0505996053230785
Bolivia,BOL,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,50.2695976773123
Brazil,BRA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,94.500518353297
Brunei Darussalam,BRN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0
Botswana,BWA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,1990,0.0
